position_x:0.0 position_y:0.0 position_z:1.1752700805664062
position_x:0.0007179385283961892 position_y:0.00015004903252702206 position_z:1.1695284843444824
position_x:0.011267472058534622 position_y:0.0023359707556664944 position_z:1.1321194171905518
position_x:0.03668134659528732 position_y:0.009057320654392242 position_z:1.0612339973449707
position_x:0.13042286038398743 position_y:0.037304896861314774 position_z:0.8663282990455627
position_x:0.26295337080955505 position_y:0.07755511999130249 position_z:0.6777987480163574
position_x:0.4739138185977936 position_y:0.1500038206577301 position_z:0.4350311756134033
position_x:0.7348663210868835 position_y:0.24330416321754456 position_z:0.21407847106456757
position_x:1.0498243570327759 position_y:0.3584156036376953 position_z:0.037365756928920746
position_x:1.4765545129776 position_y:0.5162798166275024 position_z:-0.22947925329208374
position_x:1.854163646697998 position_y:0.6510289907455444 position_z:-0.5034421682357788
position_x:2.2386746406555176 position_y:0.7774454355239868 position_z:-0.8159365057945251
position_x:2.622048854827881 position_y:0.8879010677337646 position_z:-1.1606007814407349
position_x:2.9544694423675537 position_y:0.9632877707481384 position_z:-1.505608081817627
position_x:3.3989830017089844 position_y:1.0194494724273682 position_z:-2.034043312072754
position_x:3.721328020095825 position_y:1.0397135019302368 position_z:-2.3657257556915283
position_x:4.0357584953308105 position_y:1.0407110452651978 position_z:-2.6505141258239746
position_x:4.313730239868164 position_y:1.0096389055252075 position_z:-2.952606439590454
position_x:4.559876441955566 position_y:0.943682849407196 position_z:-3.278491973876953
position_x:4.813736915588379 position_y:0.8494597673416138 position_z:-3.569136142730713
position_x:5.0520710945129395 position_y:0.7429435849189758 position_z:-3.761808156967163
position_x:5.288359642028809 position_y:0.6218522191047668 position_z:-3.8721823692321777
position_x:5.51616907119751 position_y:0.49346867203712463 position_z:-3.9038562774658203
position_x:5.753734588623047 position_y:0.35134702920913696 position_z:-3.8578124046325684
position_x:5.9883527755737305 position_y:0.20550881326198578 position_z:-3.749343156814575
position_x:6.240721702575684 position_y:0.04647674784064293 position_z:-3.632913589477539
position_x:6.498598098754883 position_y:-0.12087015062570572 position_z:-3.519132375717163
position_x:6.826296329498291 position_y:-0.3417789340019226 position_z:-3.3632547855377197
position_x:7.126047611236572 position_y:-0.5524254441261292 position_z:-3.186439037322998
position_x:7.418509483337402 position_y:-0.7582300305366516 position_z:-2.988464832305908
position_x:7.697085857391357 position_y:-0.9385013580322266 position_z:-2.794750452041626
position_x:7.984437942504883 position_y:-1.1017664670944214 position_z:-2.686511754989624
position_x:8.422587394714355 position_y:-1.33051598072052 position_z:-2.6088593006134033
position_x:8.764288902282715 position_y:-1.5015252828598022 position_z:-2.5147788524627686
position_x:9.119574546813965 position_y:-1.6670591831207275 position_z:-2.4500346183776855
position_x:9.502616882324219 position_y:-1.8349775075912476 position_z:-2.3552768230438232
position_x:9.907279968261719 position_y:-1.9916224479675293 position_z:-2.3330044746398926
position_x:10.327908515930176 position_y:-2.1392104625701904 position_z:-2.3172953128814697
position_x:10.756187438964844 position_y:-2.2783429622650146 position_z:-2.2500810623168945
position_x:11.233429908752441 position_y:-2.416645050048828 position_z:-2.111677646636963
