position_x:0.0 position_y:0.0 position_z:1.1752631664276123
position_x:0.001281763194128871 position_y:0.00015917189011815935 position_z:1.1670550107955933
position_x:0.020509354770183563 position_y:0.0016104530077427626 position_z:1.115878939628601
position_x:0.06836286932229996 position_y:-0.0003923389012925327 position_z:1.0492706298828125
position_x:0.19944988191127777 position_y:-3.1262570701073855e-05 position_z:0.9364615678787231
position_x:0.36050131916999817 position_y:0.004694195464253426 position_z:0.837598443031311
position_x:0.5958313345909119 position_y:0.011200791224837303 position_z:0.7066420316696167
position_x:0.8564719557762146 position_y:0.01782216504216194 position_z:0.6282649636268616
position_x:1.1822381019592285 position_y:0.01930471509695053 position_z:0.4938439428806305
position_x:1.5659743547439575 position_y:0.015025030821561813 position_z:0.27090325951576233
position_x:1.965106725692749 position_y:0.010166049934923649 position_z:-0.007150854915380478
position_x:2.3839070796966553 position_y:0.005535044241696596 position_z:-0.31303828954696655
position_x:2.8118536472320557 position_y:-0.001170814735814929 position_z:-0.6136159300804138
position_x:3.262465715408325 position_y:-0.009768505580723286 position_z:-0.8953235745429993
position_x:3.8600616455078125 position_y:-0.025779278948903084 position_z:-1.1779547929763794
position_x:4.311110019683838 position_y:-0.04569755867123604 position_z:-1.4159554243087769
position_x:4.837192535400391 position_y:-0.0731639415025711 position_z:-1.7519774436950684
position_x:5.305709362030029 position_y:-0.10157164931297302 position_z:-2.084014415740967
position_x:5.780600070953369 position_y:-0.13332059979438782 position_z:-2.4428646564483643
position_x:6.338766098022461 position_y:-0.16796760261058807 position_z:-2.9072155952453613
position_x:6.7694292068481445 position_y:-0.19169573485851288 position_z:-3.2367091178894043
position_x:7.200146675109863 position_y:-0.2141350954771042 position_z:-3.5719470977783203
position_x:7.583921909332275 position_y:-0.23636628687381744 position_z:-3.873335361480713
position_x:7.96163272857666 position_y:-0.25792229175567627 position_z:-4.1006293296813965
position_x:8.432661056518555 position_y:-0.28128811717033386 position_z:-4.2743754386901855
position_x:8.829792022705078 position_y:-0.29689353704452515 position_z:-4.33219051361084
position_x:9.250252723693848 position_y:-0.3057263493537903 position_z:-4.331416130065918
position_x:9.679976463317871 position_y:-0.30443552136421204 position_z:-4.284907341003418
position_x:10.110445022583008 position_y:-0.28953880071640015 position_z:-4.231569766998291
position_x:10.690363883972168 position_y:-0.24988031387329102 position_z:-4.095249176025391
position_x:11.137643814086914 position_y:-0.19171349704265594 position_z:-4.039659023284912
position_x:11.572928428649902 position_y:-0.12038666754961014 position_z:-3.9463813304901123
position_x:11.998469352722168 position_y:-0.04005821421742439 position_z:-3.7860326766967773
position_x:12.422471046447754 position_y:0.05809459462761879 position_z:-3.6091666221618652
position_x:12.92783260345459 position_y:0.21064279973506927 position_z:-3.462655544281006
position_x:13.3621187210083 position_y:0.35984286665916443 position_z:-3.3135972023010254
position_x:13.828306198120117 position_y:0.5417620539665222 position_z:-3.192201614379883
position_x:14.252552032470703 position_y:0.7223894596099854 position_z:-3.057677984237671
position_x:14.685052871704102 position_y:0.9250898361206055 position_z:-2.919872522354126
position_x:15.220402717590332 position_y:1.190492868423462 position_z:-2.8077380657196045
position_x:15.660613059997559 position_y:1.4154808521270752 position_z:-2.81097412109375
position_x:16.110435485839844 position_y:1.6522480249404907 position_z:-2.849553346633911
position_x:16.527978897094727 position_y:1.8730876445770264 position_z:-2.8381564617156982
position_x:16.960172653198242 position_y:2.0963985919952393 position_z:-2.844437599182129
position_x:17.57925796508789 position_y:2.403970241546631 position_z:-2.939945697784424
position_x:17.999797821044922 position_y:2.601195812225342 position_z:-3.0746471881866455
position_x:18.420055389404297 position_y:2.788545846939087 position_z:-3.2355797290802
position_x:18.845863342285156 position_y:2.9756107330322266 position_z:-3.3656229972839355
position_x:19.278453826904297 position_y:3.1658523082733154 position_z:-3.559267520904541
position_x:19.919519424438477 position_y:3.4532697200775146 position_z:-3.916578769683838
position_x:20.38095474243164 position_y:3.6633007526397705 position_z:-4.149910926818848
position_x:20.838687896728516 position_y:3.8762478828430176 position_z:-4.402945518493652
position_x:21.274585723876953 position_y:4.086795806884766 position_z:-4.670345783233643
position_x:21.704971313476562 position_y:4.306029319763184 position_z:-4.988358974456787
position_x:22.19346809387207 position_y:4.558446407318115 position_z:-5.29131555557251
position_x:22.605100631713867 position_y:4.774433135986328 position_z:-5.583119869232178
position_x:22.9760799407959 position_y:4.972894668579102 position_z:-5.918858051300049
position_x:23.32390785217285 position_y:5.169372081756592 position_z:-6.201824188232422
position_x:23.656417846679688 position_y:5.370827674865723 position_z:-6.400412559509277
position_x:24.084741592407227 position_y:5.65431022644043 position_z:-6.542567253112793
position_x:24.41038703918457 position_y:5.89229679107666 position_z:-6.576106071472168
position_x:24.73217010498047 position_y:6.1474690437316895 position_z:-6.562097549438477
position_x:25.043502807617188 position_y:6.410604476928711 position_z:-6.485454082489014
position_x:25.352441787719727 position_y:6.692728042602539 position_z:-6.365509033203125
position_x:25.755441665649414 position_y:7.099868297576904 position_z:-6.231317043304443
position_x:26.053726196289062 position_y:7.426509380340576 position_z:-6.14954948425293
position_x:26.361927032470703 position_y:7.773183345794678 position_z:-5.990146160125732
position_x:26.668798446655273 position_y:8.129202842712402 position_z:-5.803924083709717
position_x:26.940526962280273 position_y:8.459128379821777 position_z:-5.6833109855651855
position_x:27.292312622070312 position_y:8.898176193237305 position_z:-5.543105602264404
position_x:27.562545776367188 position_y:9.248733520507812 position_z:-5.486486911773682
position_x:27.82309341430664 position_y:9.599284172058105 position_z:-5.416440963745117
position_x:28.071449279785156 position_y:9.9478120803833 position_z:-5.341620922088623
position_x:28.314451217651367 position_y:10.30364990234375 position_z:-5.298130035400391
position_x:28.634628295898438 position_y:10.786473274230957 position_z:-5.2113447189331055
position_x:28.87990379333496 position_y:11.170477867126465 position_z:-5.143913269042969
position_x:29.128568649291992 position_y:11.575334548950195 position_z:-5.1527485847473145
position_x:29.37018394470215 position_y:11.98319149017334 position_z:-5.200816631317139
position_x:29.59765625 position_y:12.371822357177734 position_z:-5.17838191986084
position_x:29.89478874206543 position_y:12.890978813171387 position_z:-5.091272830963135
position_x:30.120149612426758 position_y:13.296205520629883 position_z:-5.028175354003906
position_x:30.347593307495117 position_y:13.71159839630127 position_z:-4.994348049163818
position_x:30.572214126586914 position_y:14.126154899597168 position_z:-4.9711713790893555
position_x:30.8024845123291 position_y:14.54529857635498 position_z:-4.934431552886963
position_x:31.133943557739258 position_y:15.129623413085938 position_z:-4.913958549499512
position_x:31.37628746032715 position_y:15.547100067138672 position_z:-4.882079601287842
position_x:31.644079208374023 position_y:15.991388320922852 position_z:-4.8911662101745605
position_x:33.163639068603516 position_y:17.96552848815918 position_z:-5.210495471954346
position_x:33.29550552368164 position_y:18.039697647094727 position_z:-5.1627936363220215
position_x:33.438961029052734 position_y:18.12421226501465 position_z:-5.066471099853516
position_x:33.65913391113281 position_y:18.277132034301758 position_z:-4.840630531311035
position_x:33.840450286865234 position_y:18.42726707458496 position_z:-4.66825008392334
position_x:34.0466423034668 position_y:18.61185646057129 position_z:-4.488332271575928
position_x:34.277008056640625 position_y:18.82689666748047 position_z:-4.361562728881836
position_x:34.52337646484375 position_y:19.053632736206055 position_z:-4.277373313903809
position_x:34.855045318603516 position_y:19.341821670532227 position_z:-4.295619487762451
position_x:35.119140625 position_y:19.555255889892578 position_z:-4.391420364379883
position_x:35.40501022338867 position_y:19.774917602539062 position_z:-4.525671482086182
position_x:35.68292236328125 position_y:19.989717483520508 position_z:-4.619151592254639
position_x:35.978858947753906 position_y:20.22348976135254 position_z:-4.645976543426514
position_x:36.40254211425781 position_y:20.559484481811523 position_z:-4.588553428649902
position_x:36.71917724609375 position_y:20.81043815612793 position_z:-4.59367036819458
position_x:37.04378128051758 position_y:21.071208953857422 position_z:-4.592775821685791
position_x:37.37297821044922 position_y:21.340486526489258 position_z:-4.526642799377441
position_x:37.68874740600586 position_y:21.608219146728516 position_z:-4.438602447509766
position_x:38.0800895690918 position_y:21.954992294311523 position_z:-4.334663391113281
position_x:38.39189529418945 position_y:22.245410919189453 position_z:-4.319812297821045
position_x:38.7089729309082 position_y:22.549942016601562 position_z:-4.302962303161621
position_x:39.0130615234375 position_y:22.846294403076172 position_z:-4.25361442565918
position_x:39.329654693603516 position_y:23.158477783203125 position_z:-4.198106288909912
position_x:39.789817810058594 position_y:23.613115310668945 position_z:-4.034464359283447
position_x:40.1126594543457 position_y:23.933568954467773 position_z:-3.9738028049468994
position_x:40.4552116394043 position_y:24.271352767944336 position_z:-3.9543702602386475
position_x:40.80003356933594 position_y:24.606916427612305 position_z:-3.89453387260437
position_x:41.133460998535156 position_y:24.925273895263672 position_z:-3.8350539207458496
position_x:41.60668182373047 position_y:25.37559700012207 position_z:-3.7025372982025146
position_x:41.966487884521484 position_y:25.72126579284668 position_z:-3.600051164627075
position_x:42.31680679321289 position_y:26.06106185913086 position_z:-3.5348055362701416
position_x:42.67036819458008 position_y:26.405807495117188 position_z:-3.4004828929901123
position_x:43.02173614501953 position_y:26.753278732299805 position_z:-3.1990275382995605
position_x:43.50591278076172 position_y:27.26873207092285 position_z:-2.8910939693450928
position_x:43.8365592956543 position_y:27.656583786010742 position_z:-2.726407527923584
position_x:44.1761589050293 position_y:28.08029556274414 position_z:-2.60602068901062
position_x:44.479610443115234 position_y:28.46754264831543 position_z:-2.500206232070923
position_x:44.77942657470703 position_y:28.851211547851562 position_z:-2.350821018218994
position_x:45.12150955200195 position_y:29.2822322845459 position_z:-2.1836788654327393
position_x:45.43291473388672 position_y:29.657487869262695 position_z:-2.075155735015869
position_x:45.73159408569336 position_y:30.010833740234375 position_z:-1.9672553539276123
position_x:46.01856231689453 position_y:30.33694076538086 position_z:-1.9018884897232056
position_x:46.29947280883789 position_y:30.6447811126709 position_z:-1.866848349571228
position_x:46.681800842285156 position_y:31.040475845336914 position_z:-1.9276388883590698
position_x:46.948246002197266 position_y:31.29654884338379 position_z:-2.0184669494628906
position_x:47.20806121826172 position_y:31.53297233581543 position_z:-2.139986276626587
position_x:47.46643829345703 position_y:31.766603469848633 position_z:-2.2241275310516357
position_x:47.726436614990234 position_y:31.993995666503906 position_z:-2.2729556560516357
position_x:48.1124153137207 position_y:32.29115295410156 position_z:-2.3689236640930176
position_x:48.42006301879883 position_y:32.49614715576172 position_z:-2.4381041526794434
position_x:48.7437629699707 position_y:32.6920166015625 position_z:-2.4333322048187256
position_x:49.07406234741211 position_y:32.86612319946289 position_z:-2.3713881969451904
position_x:49.405147552490234 position_y:32.994903564453125 position_z:-2.3237006664276123
position_x:49.950927734375 position_y:33.09933853149414 position_z:-2.26853346824646
position_x:50.29740524291992 position_y:33.11030197143555 position_z:-2.2140371799468994
position_x:50.82343673706055 position_y:33.01974868774414 position_z:-2.15578293800354
position_x:51.137359619140625 position_y:32.92766189575195 position_z:-2.085509777069092
position_x:51.462703704833984 position_y:32.799312591552734 position_z:-2.0072405338287354
