position_x:0.0 position_y:0.0 position_z:-0.3405528664588928
position_x:0.0021668681874871254 position_y:-0.00040328316390514374 position_z:-0.3464547395706177
position_x:0.04561256989836693 position_y:-0.007548037450760603 position_z:-0.4185428321361542
position_x:0.13206768035888672 position_y:-0.01810837909579277 position_z:-0.5239236950874329
position_x:0.276999831199646 position_y:-0.030197983607649803 position_z:-0.6555008888244629
position_x:0.4879499673843384 position_y:-0.04754666984081268 position_z:-0.7950509786605835
position_x:0.8023119568824768 position_y:-0.07214679569005966 position_z:-0.996038019657135
position_x:1.1694656610488892 position_y:-0.09733753651380539 position_z:-1.2336069345474243
position_x:1.6235251426696777 position_y:-0.12401967495679855 position_z:-1.5305980443954468
position_x:2.0742204189300537 position_y:-0.1417955756187439 position_z:-1.8179080486297607
position_x:2.5688114166259766 position_y:-0.15043029189109802 position_z:-2.149250030517578
position_x:3.0183827877044678 position_y:-0.14957480132579803 position_z:-2.442081928253174
position_x:3.5074026584625244 position_y:-0.14319036900997162 position_z:-2.676950216293335
position_x:4.016992568969727 position_y:-0.12576745450496674 position_z:-2.8506486415863037
position_x:4.497337818145752 position_y:-0.0951300784945488 position_z:-2.991434335708618
position_x:4.958010196685791 position_y:-0.06031837314367294 position_z:-3.0487747192382812
position_x:5.4288835525512695 position_y:-0.021650858223438263 position_z:-3.029893398284912
position_x:5.89694881439209 position_y:0.016316324472427368 position_z:-2.9354050159454346
position_x:6.351102828979492 position_y:0.051115505397319794 position_z:-2.814490556716919
position_x:6.810395240783691 position_y:0.0935952290892601 position_z:-2.6973702907562256
position_x:7.272607803344727 position_y:0.14988379180431366 position_z:-2.6280806064605713
position_x:7.752194881439209 position_y:0.213423490524292 position_z:-2.624389171600342
position_x:8.206558227539062 position_y:0.2703891098499298 position_z:-2.6377556324005127
position_x:8.714197158813477 position_y:0.3336910307407379 position_z:-2.6035473346710205
position_x:9.211393356323242 position_y:0.4043407142162323 position_z:-2.6069588661193848
position_x:9.7212553024292 position_y:0.49266940355300903 position_z:-2.6513195037841797
position_x:10.212543487548828 position_y:0.589942455291748 position_z:-2.6722934246063232
position_x:10.732109069824219 position_y:0.7048415541648865 position_z:-2.6985132694244385
position_x:11.224698066711426 position_y:0.8230084180831909 position_z:-2.6957223415374756
position_x:11.720662117004395 position_y:0.9602996110916138 position_z:-2.7127132415771484
position_x:12.192705154418945 position_y:1.1139204502105713 position_z:-2.7628347873687744
position_x:12.681581497192383 position_y:1.282103180885315 position_z:-2.750600814819336
position_x:13.144244194030762 position_y:1.4470806121826172 position_z:-2.664024829864502
position_x:13.611166000366211 position_y:1.622213363647461 position_z:-2.5476505756378174
position_x:14.06785774230957 position_y:1.808194637298584 position_z:-2.5231521129608154
position_x:14.517909049987793 position_y:2.002302408218384 position_z:-2.5902857780456543
position_x:14.9913969039917 position_y:2.215604066848755 position_z:-2.713383674621582
position_x:15.450072288513184 position_y:2.4267446994781494 position_z:-2.806864023208618
position_x:15.925421714782715 position_y:2.6475813388824463 position_z:-2.842329978942871
position_x:16.40300750732422 position_y:2.868074417114258 position_z:-2.892871379852295
position_x:16.95512580871582 position_y:3.116567850112915 position_z:-3.0407497882843018
position_x:17.44240379333496 position_y:3.333693265914917 position_z:-3.2041211128234863
position_x:17.927335739135742 position_y:3.54775071144104 position_z:-3.3973677158355713
position_x:18.388254165649414 position_y:3.7468185424804688 position_z:-3.650475025177002
position_x:18.837968826293945 position_y:3.9322853088378906 position_z:-3.9520742893218994
position_x:19.290939331054688 position_y:4.1076788902282715 position_z:-4.272918701171875
position_x:19.738067626953125 position_y:4.272757530212402 position_z:-4.560220241546631
position_x:20.194843292236328 position_y:4.42513370513916 position_z:-4.919695854187012
position_x:20.61769676208496 position_y:4.551876068115234 position_z:-5.287600040435791
position_x:21.071727752685547 position_y:4.670501232147217 position_z:-5.7220587730407715
position_x:21.543867111206055 position_y:4.786242485046387 position_z:-6.070803642272949
position_x:21.993696212768555 position_y:4.888342380523682 position_z:-6.307244777679443
position_x:22.404376983642578 position_y:4.974684715270996 position_z:-6.4471588134765625
position_x:22.82929801940918 position_y:5.060179710388184 position_z:-6.514327526092529
position_x:23.250947952270508 position_y:5.143438339233398 position_z:-6.511623382568359
position_x:23.689632415771484 position_y:5.233437538146973 position_z:-6.4379048347473145
position_x:24.10999870300293 position_y:5.330925941467285 position_z:-6.339686870574951
position_x:24.54094886779785 position_y:5.450915336608887 position_z:-6.264880657196045
position_x:24.973108291625977 position_y:5.592264175415039 position_z:-6.1743483543396
position_x:25.404102325439453 position_y:5.756531715393066 position_z:-6.051790237426758
position_x:25.860931396484375 position_y:5.966273307800293 position_z:-5.93857479095459
position_x:26.307456970214844 position_y:6.1940813064575195 position_z:-5.785082817077637
position_x:26.705522537231445 position_y:6.430171966552734 position_z:-5.683468341827393
position_x:27.09979248046875 position_y:6.702980041503906 position_z:-5.649212837219238
position_x:27.459379196166992 position_y:6.976219654083252 position_z:-5.6414690017700195
position_x:27.813983917236328 position_y:7.263931751251221 position_z:-5.6540913581848145
position_x:28.264204025268555 position_y:7.6638970375061035 position_z:-5.705916881561279
position_x:28.58486557006836 position_y:7.9621148109436035 position_z:-5.676473617553711
position_x:28.900054931640625 position_y:8.260750770568848 position_z:-5.5784783363342285
position_x:29.199569702148438 position_y:8.553651809692383 position_z:-5.456439018249512
position_x:29.505701065063477 position_y:8.8695707321167 position_z:-5.378761291503906
position_x:29.80939483642578 position_y:9.188979148864746 position_z:-5.276786804199219
position_x:30.115602493286133 position_y:9.51593017578125 position_z:-5.135532379150391
position_x:30.404781341552734 position_y:9.835515975952148 position_z:-5.05200719833374
position_x:30.707542419433594 position_y:10.173540115356445 position_z:-4.967617511749268
position_x:30.996196746826172 position_y:10.498157501220703 position_z:-4.873324871063232
position_x:31.293622970581055 position_y:10.832688331604004 position_z:-4.796212196350098
position_x:31.601625442504883 position_y:11.176873207092285 position_z:-4.769414901733398
position_x:31.912883758544922 position_y:11.522727012634277 position_z:-4.7028422355651855
position_x:32.21574783325195 position_y:11.861370086669922 position_z:-4.650595664978027
position_x:32.519935607910156 position_y:12.205409049987793 position_z:-4.5672197341918945
position_x:32.84059143066406 position_y:12.579019546508789 position_z:-4.527116298675537
position_x:33.148582458496094 position_y:12.9528169631958 position_z:-4.459968090057373
position_x:33.44811248779297 position_y:13.338506698608398 position_z:-4.428361892700195
position_x:33.741241455078125 position_y:13.74672794342041 position_z:-4.421759128570557
position_x:34.01327133178711 position_y:14.15703296661377 position_z:-4.387353420257568
position_x:34.26380157470703 position_y:14.582448959350586 position_z:-4.384389400482178
position_x:34.5110969543457 position_y:15.02330493927002 position_z:-4.3067803382873535
position_x:34.73323059082031 position_y:15.449129104614258 position_z:-4.206418037414551
position_x:34.94169998168945 position_y:15.893784523010254 position_z:-4.121252536773682
position_x:35.204490661621094 position_y:16.48736000061035 position_z:-3.9730911254882812
position_x:35.38526916503906 position_y:16.92046356201172 position_z:-3.949014186859131
position_x:35.570098876953125 position_y:17.374996185302734 position_z:-4.006300926208496
position_x:35.745391845703125 position_y:17.79790687561035 position_z:-4.129376411437988
position_x:35.92203140258789 position_y:18.213232040405273 position_z:-4.309344291687012
position_x:36.08871078491211 position_y:18.605363845825195 position_z:-4.481174945831299
position_x:36.25899124145508 position_y:19.00118637084961 position_z:-4.629776954650879
position_x:36.46892547607422 position_y:19.470458984375 position_z:-4.921558856964111
position_x:36.613101959228516 position_y:19.794084548950195 position_z:-5.0920844078063965
position_x:36.764808654785156 position_y:20.13266944885254 position_z:-5.202644348144531
position_x:36.917869567871094 position_y:20.46547508239746 position_z:-5.23484992980957
position_x:37.086143493652344 position_y:20.813894271850586 position_z:-5.238420486450195
position_x:37.2673454284668 position_y:21.165075302124023 position_z:-5.28102445602417
position_x:37.469181060791016 position_y:21.54798126220703 position_z:-5.256655693054199
position_x:37.67222213745117 position_y:21.926008224487305 position_z:-5.164644241333008
position_x:37.873722076416016 position_y:22.284013748168945 position_z:-5.050393104553223
position_x:38.09627151489258 position_y:22.654634475708008 position_z:-4.932753086090088
position_x:38.325767517089844 position_y:23.011621475219727 position_z:-4.780123710632324
position_x:38.56534957885742 position_y:23.35430145263672 position_z:-4.635509967803955
position_x:38.82749938964844 position_y:23.701868057250977 position_z:-4.492188453674316
position_x:39.08968734741211 position_y:24.015222549438477 position_z:-4.405372619628906
position_x:39.3839225769043 position_y:24.331829071044922 position_z:-4.349634170532227
position_x:39.6889762878418 position_y:24.636445999145508 position_z:-4.269413471221924
position_x:40.010372161865234 position_y:24.928598403930664 position_z:-4.222124099731445
position_x:40.342166900634766 position_y:25.219799041748047 position_z:-4.151928901672363
position_x:40.736488342285156 position_y:25.5512752532959 position_z:-4.097760200500488
position_x:41.1697998046875 position_y:25.90873908996582 position_z:-3.966388702392578
position_x:41.51738357543945 position_y:26.198366165161133 position_z:-3.8172621726989746
position_x:41.854026794433594 position_y:26.48458480834961 position_z:-3.6341733932495117
position_x:42.20888137817383 position_y:26.791236877441406 position_z:-3.486271858215332
position_x:42.54621124267578 position_y:27.09479522705078 position_z:-3.425487995147705
position_x:42.93472671508789 position_y:27.465232849121094 position_z:-3.424673557281494
position_x:43.278228759765625 position_y:27.799819946289062 position_z:-3.409388780593872
position_x:43.636409759521484 position_y:28.156688690185547 position_z:-3.461775779724121
position_x:44.01201248168945 position_y:28.528823852539062 position_z:-3.575322151184082
position_x:44.34429168701172 position_y:28.84193992614746 position_z:-3.6925148963928223
position_x:44.6607780456543 position_y:29.12944221496582 position_z:-3.76279878616333
position_x:44.98133087158203 position_y:29.4089412689209 position_z:-3.8194470405578613
position_x:45.29912567138672 position_y:29.677446365356445 position_z:-3.8101017475128174
position_x:45.61061477661133 position_y:29.928138732910156 position_z:-3.8036298751831055
position_x:45.917320251464844 position_y:30.16229820251465 position_z:-3.8597359657287598
position_x:46.205665588378906 position_y:30.381132125854492 position_z:-3.9538979530334473
position_x:46.4837646484375 position_y:30.591711044311523 position_z:-4.104639530181885
position_x:46.76664352416992 position_y:30.799558639526367 position_z:-4.289670944213867
position_x:47.06421661376953 position_y:31.009153366088867 position_z:-4.525566577911377
